target,accuracy,precision_anom,recall_anom,f1_anom,auroc,auprc,n_healthy_train,n_healthy_holdout,n_unhealthy
decel_duration_seconds,0.9354838709677419,0.8333333333333334,0.9375,0.8823529411764706,0.9592391304347826,0.9592391304347826,138,46,16
num_decelerations,0.9354838709677419,0.8333333333333334,0.9375,0.8823529411764706,0.9483695652173914,0.9560185185185185,138,46,16
baseline_fhr,0.9032258064516129,0.8125,0.8125,0.8125,0.9157608695652174,0.8864134513221735,138,46,16
std_fhr,0.8548387096774194,0.7692307692307693,0.625,0.6896551724137931,0.8967391304347827,0.8173291372779519,138,46,16
hf_power,0.8225806451612904,0.7272727272727273,0.5,0.5925925925925926,0.8885869565217391,0.7011696915648735,138,46,16
max_fhr,0.8709677419354839,0.7857142857142857,0.6875,0.7333333333333333,0.861413043478261,0.8209605957767723,138,46,16
percentile_25,0.8709677419354839,0.7857142857142857,0.6875,0.7333333333333333,0.8519021739130435,0.7911400128544622,138,46,16
percentile_75,0.8225806451612904,0.7272727272727273,0.5,0.5925925925925926,0.8491847826086957,0.7739823757831342,138,46,16
hf_share,0.8387096774193549,0.75,0.5625,0.6428571428571429,0.8165760869565216,0.6091813590192128,138,46,16
lf_share,0.8387096774193549,0.75,0.5625,0.6428571428571429,0.8165760869565216,0.6091813590192128,138,46,16
mean_fhr,0.8387096774193549,0.75,0.5625,0.6428571428571429,0.8084239130434783,0.7698017860818163,138,46,16
rmssd,0.8225806451612904,0.7272727272727273,0.5,0.5925925925925926,0.7975543478260869,0.7039461592159115,138,46,16
num_accelerations,0.7258064516129032,0.4,0.125,0.19047619047619047,0.75,0.47294335213668043,138,46,16
min_fhr,0.8548387096774194,0.7692307692307693,0.625,0.6896551724137931,0.7323369565217392,0.7432454004329004,138,46,16
median_fhr,0.8064516129032258,0.7,0.4375,0.5384615384615384,0.654891304347826,0.567889672195874,138,46,16
lf_power,0.8064516129032258,0.7,0.4375,0.5384615384615384,0.6372282608695653,0.5078072834564187,138,46,16
sample_entropy,0.7258064516129032,0.4,0.125,0.19047619047619047,0.6345108695652174,0.41442505552138015,138,46,16
accel_duration_seconds,0.8225806451612904,0.7272727272727273,0.5,0.5925925925925926,0.6304347826086956,0.5997911866359447,138,46,16
approx_entropy,0.7258064516129032,0.4,0.125,0.19047619047619047,0.5081521739130435,0.30376733982756216,138,46,16
dfa,0.7258064516129032,0.4,0.125,0.19047619047619047,0.44565217391304346,0.3436444360214982,138,46,16
peak_frequency,0.7258064516129032,0.4,0.125,0.19047619047619047,0.23777173913043478,0.3023313790574165,138,46,16
